seller_id,seller_zip_code,seller_city,seller_state
3442f8959a84dea7ee197c632cb2df15,13023,KOTA JAKARTA TIMUR,DKI JAKARTA
d1b65fc7debc3361ea86b5f14c68d2e2,13844,KOTA PADANG PANJANG,SUMATERA BARAT
ce3ad9de960102d0677a81f5d0bb7b2d,20031,KOTA JAKARTA BARAT,DKI JAKARTA
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,KOTA TANGERANG,BANTEN
51a04a8a6bdcb23deccc82b0b80742cf,12914,KABUPATEN LAMONGAN,JAWA TIMUR
c240c4061717ac1806ae6ee72be3533b,20920,KOTA JAKARTA BARAT,DKI JAKARTA
e49c26c3edfa46d227d5121a6b6e4d37,55325,KABUPATEN TANGERANG,BANTEN
1b938a7ec6ac5061a66a3766e0e75f90,16304,KABUPATEN MINAHASA UTARA,SULAWESI UTARA
768a86e36ad6aae3d03ee3c6433d61df,1529,KOTA TANGERANG,BANTEN
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,KOTA JAKARTA SELATAN,DKI JAKARTA
8cb7c5ddf41f4d506eba76e9a4702a25,75110,KABUPATEN PURBALINGGA,JAWA TENGAH
a7a9b880c49781da66651ccf4ba9ac38,13530,KABUPATEN KENDAL,JAWA TENGAH
8bd0f31cf0a614c658f6763bd02dea69,1222,KOTA TANGERANG,BANTEN
05a48cc8859962767935ab9087417fbb,5372,KOTA TANGERANG,BANTEN
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,KABUPATEN HULU SUNGAI TENGAH,KALIMANTAN SELATAN
1444c08e64d55fb3c25f0f09c07ffcf2,42738,KABUPATEN TOBA SAMOSIR,SUMATERA UTARA
166e8f1381e09651983c38b1f6f91c11,88780,KABUPATEN LUWU TIMUR,SULAWESI SELATAN
e38db885400cd35c71dfd162f2c1dbcf,70740,KABUPATEN BEKASI,JAWA BARAT
d2e753bb80b7d4faa77483ed00edc8ca,45810,KABUPATEN PANDEGLANG,BANTEN
f9ec7093df3a7b346b7bcf7864069ca3,5138,KOTA TANGERANG,BANTEN
4e6015589b781adaa5ce7f1892d06bb1,11440,KABUPATEN MOJOKERTO,JAWA TIMUR
4cf490a58259286ada5ba8525ba9e84a,14910,KOTA PEMATANG SIANTAR,SUMATERA UTARA
f7496d659ca9fdaf323c0aae84176632,4156,KOTA TANGERANG,BANTEN
2ff97219cb8622eaf3cd89b7d9c09824,13320,KABUPATEN LAMPUNG SELATAN,LAMPUNG
8bd0e3abda539b9479c4b44a691be1ec,98910,KABUPATEN KEPULAUAN MERANTI,RIAU
2a1348e9addc1af5aaa619b1a3679d6b,30494,KABUPATEN TANGERANG,BANTEN
2078fe5066350e7d220c0ad3a3bbc6c1,86707,KABUPATEN MAJENE,SULAWESI BARAT
116ccb1a1604bc88e4d234a8c23f33de,9850,KOTA BEKASI,JAWA BARAT
430315b7bb4b6e4b3c978f9dfa9b0558,4857,KOTA TANGERANG,BANTEN
406822777a0b9eb5c50e442dd4cd3ec5,18500,KABUPATEN PELALAWAN,RIAU
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,KOTA JAKARTA SELATAN,DKI JAKARTA
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,KOTA TANGERANG,BANTEN
d52cbce9845184537284a23c3bc3da0e,88495,KABUPATEN BANGGAI LAUT,SULAWESI TENGAH
d9a84e1403de8da0c3aa531d6d108ba6,3562,KOTA TANGERANG,BANTEN
9c690ceacd5c66731bf443ea810195cb,37650,KABUPATEN KEPULAUAN MERANTI,RIAU
1f9ab4708f3056ede07124aad39a2554,17602,KABUPATEN KAPUAS,KALIMANTAN TENGAH
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,KOTA TANGERANG SELATAN,BANTEN
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,KOTA JAYAPURA,PAPUA
ec2e006556300a79a5a91e4876ab3a56,3445,KOTA TANGERANG,BANTEN
b2a6d334e2833acea353624840e25a0e,4133,KOTA TANGERANG,BANTEN
d3674f271c91f824f82d24d92011f669,72233,KABUPATEN BEKASI,JAWA BARAT
768de2a4fc06aacecb9a586ccc30746a,70645,KABUPATEN BEKASI,JAWA BARAT
a81466620e46a6970b22ef40379fdfc9,88730,KABUPATEN BANJARNEGARA,JAWA TENGAH
5c030029b5916fed0986310385ec9009,88075,KABUPATEN CIAMIS,JAWA BARAT
c0f783394e37cd9c9d7f5f81141450fa,13416,KOTA PEKANBARU,RIAU
c353f8fc0ce8344999f17d578eb69a5e,90850,KOTA JAKARTA UTARA,DKI JAKARTA
8444e55c1f13cd5c179851e5ca5ebd00,37584,KABUPATEN BUTON SELATAN,SULAWESI TENGGARA
28a26ebce31d5918b181ede016fd693b,31950,KABUPATEN TANGERANG,BANTEN
41ab63a91b8b264e8c8780368bf1dd5b,31555,KABUPATEN TANGERANG,BANTEN
8759e7aedd644f487315e5860962f162,9251,KABUPATEN BOGOR,JAWA BARAT
e546117ed9cafbc40239c0c78635c584,4705,KOTA TANGERANG,BANTEN
d71d863e5ef30d94e440c11be17dcd8f,6144,KOTA SURABAYA,JAWA TIMUR
0c7533c71df861ec58ad7ff999ed0e8d,13270,KOTA MADIUN,JAWA TIMUR
ef990a83bbea832f36ebe81376335aa8,89214,KABUPATEN BADUNG,BALI
41e0fa5761c886a630994a55c12087e7,11446,KABUPATEN MOJOKERTO,JAWA TIMUR
0747d5bb69f0586cc869d8af4c50f93e,28990,KABUPATEN TAPANULI TENGAH,SUMATERA UTARA
7d294cf9a6a69dc6a0c3e540fff0e039,88390,KOTA LUBUKLINGGAU,SUMATERA SELATAN
c89cf7c468a48af70aada384e722f9e2,25730,KABUPATEN SERANG,BANTEN
b7ba853e9551f4558440881fd3e5c815,95500,KABUPATEN TOBA SAMOSIR,SUMATERA UTARA
13c2ed7698b3ca92dad49e849219da59,84010,KOTA SALATIGA,JAWA TENGAH
cbbd5ae8f53de5f5097cd8217b529e24,6544,KOTA PEKALONGAN,JAWA TENGAH
02ecc2a19303f05e59ce133fd923fff7,9121,KABUPATEN BOGOR,JAWA BARAT
c013e57c075a06e5b5c48ee03c525719,13568,KOTA SAMARINDA,KALIMANTAN TIMUR
55f7a3319d80f7fdf078b8f03e6725fe,6056,KOTA SURABAYA,JAWA TIMUR
