iter	RMSE
0	5.905812642
1	5.793669078
2	5.697919281
3	5.613294843
4	5.545025639
5	5.486378488
6	5.434131113
7	5.391934571
8	5.356544261
9	5.325689299
10	5.297605616
11	5.271115679
12	5.2498152
13	5.231864895
14	5.214098355
15	5.198643135
16	5.183471484
17	5.169256887
18	5.157418376
19	5.145725894
20	5.135867806
21	5.126021774
22	5.11658297
23	5.106766766
24	5.099810232
25	5.091619718
26	5.085902043
27	5.079831528
28	5.074249422
29	5.067620528
30	5.061845729
31	5.054654924
32	5.048074495
33	5.042907809
34	5.038890195
35	5.035150914
36	5.031234905
37	5.02613779
38	5.021595768
39	5.018346602
40	5.014028204
41	5.009416996
42	5.004562192
43	5.001034092
44	4.99734722
45	4.994532012
46	4.991676624
47	4.987802454
48	4.984965782
49	4.981637923
50	4.979241153
51	4.975710199
52	4.973283201
53	4.971369548
54	4.969310032
55	4.966474065
56	4.964201217
57	4.96256611
58	4.960209787
59	4.95914726
60	4.956465906
61	4.955126094
62	4.95251475
63	4.950003031
64	4.948216725
65	4.946037724
66	4.944269372
67	4.942295891
68	4.941020087
69	4.938466746
70	4.934808407
71	4.933591382
72	4.931633661
73	4.929123762
74	4.927872827
75	4.926146861
76	4.92390754
77	4.922308214
78	4.920753492
79	4.919669484
80	4.918534308
81	4.91665032
82	4.914571359
83	4.912983715
84	4.912069104
85	4.909725426
86	4.908352284
87	4.905154446
88	4.903651308
89	4.901156737
90	4.899595916
91	4.897599711
92	4.896019511
93	4.894340822
94	4.893357092
95	4.891398861
96	4.889606245
97	4.887658459
98	4.885903305
99	4.884453135
100	4.8817477
101	4.880677906
102	4.8793788
103	4.877724639
104	4.876200118
105	4.874817389
106	4.873651895
107	4.872192392
108	4.87080824
109	4.868982916
110	4.867816038
111	4.866125382
112	4.863882741
113	4.862630698
114	4.861130351
115	4.859492387
116	4.857775941
117	4.856007825
118	4.854561118
119	4.853632936
120	4.851413206
121	4.849661502
122	4.847979096
123	4.846582732
124	4.844949192
125	4.843440239
126	4.84210949
127	4.840677561
128	4.839219444
129	4.837982218
130	4.836385478
131	4.834523767
132	4.832890367
133	4.831181478
134	4.829768323
135	4.828097567
136	4.82721133
137	4.825614472
138	4.824526869
139	4.823500325
140	4.821628627
141	4.820626485
142	4.819128084
143	4.818391843
144	4.817007152
145	4.815414457
146	4.814368005
147	4.812392889
148	4.810469283
149	4.809328652
150	4.807804978
151	4.806615866
152	4.805958135
153	4.804756274
154	4.803334594
155	4.802458936
156	4.79936947
157	4.798455901
158	4.797069756
159	4.795592554
160	4.794555434
161	4.793735668
162	4.7928815
163	4.792461077
164	4.791321588
165	4.790274296
166	4.789441542
167	4.78812093
168	4.787720576
169	4.787293719
170	4.78658164
171	4.78509219
172	4.784352821
173	4.783463692
174	4.782355552
175	4.782212082
176	4.780923981
177	4.78082823
178	4.779489359
179	4.778537395
180	4.777656127
181	4.776416912
182	4.774753494
183	4.774504651
184	4.772940501
185	4.772080248
186	4.770855455
187	4.769893248
188	4.76964968
189	4.76824079
190	4.767484947
191	4.767406578
192	4.766809747
193	4.764959875
194	4.763519785
195	4.761949891
196	4.761160486
197	4.760153636
198	4.759401237
199	4.758284113
200	4.757540035
201	4.756435241
202	4.755578815
203	4.754915772
204	4.753740454
205	4.75269647
206	4.751731203
207	4.751101404
208	4.751055106
209	4.750115992
210	4.749302822
211	4.748403033
212	4.747676276
213	4.746640378
214	4.745630518
215	4.744825713
216	4.743609577
217	4.743019319
218	4.742343027
219	4.741474656
220	4.740578786
221	4.73926764
222	4.738345301
223	4.737597813
224	4.736874562
225	4.735856128
226	4.735826267
227	4.734780683
