iter	Passed	Remaining
0	121	121005
1	239	119318
2	341	113381
3	433	107833
4	529	105387
5	611	101265
6	712	101069
7	812	100713
8	920	101367
9	1012	100197
10	1117	100440
11	1223	100710
12	1340	101794
13	1430	100747
14	1522	100007
15	1618	99515
16	1720	99488
17	1828	99767
18	1924	99376
19	2015	98765
20	2109	98350
21	2208	98197
22	2317	98457
23	2414	98206
24	2516	98147
25	2612	97869
26	2714	97828
27	2814	97715
28	2923	97877
29	3027	97880
30	3134	97964
31	3246	98208
32	3339	97863
33	3442	97801
34	3544	97729
35	3643	97557
36	3765	98000
37	3878	98188
38	3985	98204
39	4087	98109
40	4187	97936
41	4290	97868
42	4413	98229
43	4526	98357
44	4642	98534
45	4754	98602
46	4876	98879
47	4999	99153
48	5121	99405
49	5220	99196
50	5330	99189
51	5421	98846
52	5524	98719
53	5655	99069
54	5758	98948
55	5861	98810
56	5968	98734
57	6068	98552
58	6167	98370
59	6268	98199
60	6366	98005
61	6465	97813
62	6567	97684
63	6671	97568
64	6770	97386
65	6866	97173
66	6979	97194
67	7082	97071
68	7179	96866
69	7283	96769
70	7388	96668
71	7484	96460
72	7577	96224
73	7678	96089
74	7771	95853
75	7875	95754
76	7974	95590
77	8014	94741
78	8109	94543
79	8215	94475
80	8319	94395
81	8411	94163
82	8539	94342
83	8659	94427
84	8758	94286
85	8867	94243
86	9001	94460
87	9104	94352
88	9238	94560
89	9366	94708
90	9467	94573
91	9584	94594
92	9699	94599
93	9823	94681
94	9961	94895
95	10055	94692
96	10156	94551
97	10261	94444
98	10363	94322
99	10462	94162
100	10560	93996
101	10654	93801
102	10754	93661
103	10849	93473
104	10958	93408
105	11062	93297
106	11167	93198
107	11260	93004
108	11365	92906
109	11460	92725
110	11555	92549
111	11659	92443
112	11760	92311
113	11868	92241
114	11983	92220
115	12082	92079
116	12178	91909
117	12280	91790
118	12375	91621
119	12467	91426
120	12571	91326
121	12671	91195
122	12769	91049
123	12873	90942
124	12979	90857
125	13074	90691
126	13176	90572
127	13280	90471
128	13385	90376
129	13489	90275
130	13585	90122
131	13682	89973
132	13789	89891
133	13896	89807
134	13990	89642
135	14104	89604
136	14222	89589
