iter	RMSE
0	5.915437372
1	5.800783619
2	5.703186886
3	5.620428529
4	5.54832897
5	5.491039625
6	5.44095149
7	5.396971826
8	5.362612642
9	5.329254626
10	5.299361927
11	5.273193417
12	5.253224276
13	5.232341968
14	5.214551416
15	5.198462213
16	5.185067655
17	5.173047601
18	5.16119325
19	5.15144952
20	5.140494096
21	5.129747144
22	5.121990005
23	5.114167003
24	5.107413486
25	5.097958146
26	5.089429008
27	5.08521896
28	5.078344571
29	5.072341217
30	5.068425859
31	5.061794183
32	5.057708702
33	5.053965363
34	5.047171684
35	5.043740368
36	5.040418096
37	5.034011984
38	5.028723221
39	5.022194353
40	5.019172132
41	5.015472247
42	5.012798543
43	5.009963492
44	5.007563038
45	5.004687891
46	5.000650303
47	4.997437717
48	4.994740495
49	4.990476338
50	4.986125298
51	4.982172973
52	4.978124367
53	4.975668999
54	4.972725758
55	4.969991795
56	4.967871128
57	4.965648969
58	4.962452036
59	4.959257492
60	4.95668986
61	4.954277804
62	4.952422762
63	4.949883765
64	4.947807815
65	4.944290681
66	4.942709283
67	4.94077705
68	4.938690436
69	4.936371452
70	4.934529006
71	4.931689538
72	4.929257252
73	4.927072287
74	4.92470686
75	4.923301741
76	4.92064141
77	4.91838359
78	4.916296211
79	4.915225916
80	4.91285133
81	4.911520982
82	4.908706967
83	4.907488778
84	4.905545785
85	4.90412144
86	4.901668804
87	4.900219468
88	4.898946779
89	4.897149718
90	4.895311577
91	4.893258585
92	4.891575793
93	4.88955494
94	4.887785527
95	4.886289502
96	4.884109209
97	4.882786342
98	4.881115198
99	4.879739066
100	4.87821127
101	4.876903256
102	4.875448987
103	4.87396289
104	4.872597194
105	4.870765132
106	4.869540012
107	4.867183277
108	4.865773494
109	4.863468279
110	4.861997004
111	4.860141429
112	4.858734821
113	4.857587081
114	4.856109558
115	4.854699505
116	4.853066926
117	4.851914142
118	4.850436373
119	4.849003382
120	4.847684102
121	4.846093596
122	4.844796524
123	4.84315774
124	4.841131128
125	4.839107932
126	4.837807813
127	4.836376221
128	4.835013414
129	4.833715074
130	4.832132356
131	4.831053007
132	4.829629751
133	4.828034159
134	4.827041141
135	4.825050959
136	4.82362116
137	4.821771614
138	4.820120739
139	4.818511273
140	4.817360517
141	4.815479355
142	4.814445584
143	4.81297774
144	4.812124367
145	4.810775103
146	4.808825184
147	4.807247597
148	4.805987178
149	4.804811493
150	4.803384145
151	4.801769348
152	4.800106201
153	4.799040908
154	4.797398001
155	4.79661212
156	4.795574836
157	4.794517845
158	4.793767013
159	4.792765071
160	4.791814506
161	4.790290445
162	4.789116365
163	4.788213987
164	4.787267094
165	4.785759041
166	4.784503498
167	4.78351826
168	4.782350909
169	4.781000423
170	4.778616825
171	4.778440958
172	4.777145985
173	4.776425933
174	4.775183742
175	4.775008873
176	4.77406256
177	4.773072844
178	4.772455385
179	4.771348055
180	4.770495899
181	4.770165698
182	4.769310926
183	4.769241247
184	4.768396606
185	4.768036615
186	4.767037937
187	4.766309083
188	4.765791788
189	4.764891656
190	4.76403831
191	4.762871102
192	4.762116912
193	4.760439441
194	4.759759544
195	4.758684266
196	4.757480523
197	4.756517665
198	4.755640674
199	4.754292527
200	4.753618741
201	4.752843771
202	4.752567983
203	4.752497202
204	4.751401221
205	4.750258167
206	4.749822234
207	4.748722009
208	4.747468491
209	4.746745293
210	4.745856486
211	4.745517412
212	4.744676129
213	4.743664717
214	4.742556134
215	4.741440969
216	4.740796571
217	4.739843463
218	4.739068114
219	4.737597197
220	4.736804132
221	4.736122607
222	4.735342985
223	4.734917421
224	4.733946141
225	4.73306115
226	4.732465588
227	4.731501234
228	4.730740956
229	4.729513095
230	4.728793957
231	4.72779831
232	4.726889388
233	4.726207001
234	4.725354991
235	4.724674965
236	4.723982147
237	4.72292798
238	4.722336312
239	4.721631456
240	4.720875467
241	4.720709344
242	4.719646874
243	4.719080793
244	4.718414738
245	4.717137718
246	4.716529754
247	4.715891307
248	4.715074513
249	4.71379607
250	4.713209
251	4.71298283
252	4.71250925
253	4.711628709
254	4.711123977
255	4.710503781
256	4.709781017
257	4.709160713
258	4.708213793
259	4.707553582
260	4.706691207
261	4.706040313
262	4.705206661
263	4.70433635
264	4.70373167
265	4.702945258
266	4.701738715
267	4.701093967
268	4.700218321
269	4.69973018
270	4.698833657
271	4.697876494
272	4.697265999
273	4.696729174
274	4.696142964
275	4.695243626
276	4.694814801
277	4.694037654
278	4.693377061
279	4.693127105
280	4.692209895
281	4.691535395
282	4.691068338
283	4.690384374
284	4.689921637
285	4.689040046
286	4.686681582
287	4.685842624
288	4.685031745
289	4.68426764
290	4.68375816
291	4.68271461
292	4.681592565
293	4.681093285
294	4.680078088
295	4.679553461
296	4.679436603
297	4.678814478
298	4.678438432
299	4.677575309
300	4.676904979
301	4.676443002
302	4.675439004
303	4.674749951
304	4.674684417
305	4.67402557
306	4.673516561
307	4.672731391
308	4.671378147
309	4.670718757
310	4.669475994
311	4.668746322
312	4.668001179
313	4.667570971
314	4.667070622
315	4.666110269
316	4.665130375
317	4.664511749
318	4.663746535
319	4.66318366
320	4.662630432
321	4.662096782
322	4.661494408
323	4.660762334
324	4.660151716
325	4.659748497
326	4.659331829
327	4.658759689
328	4.657921854
329	4.657408779
330	4.656660623
331	4.65590993
332	4.655280584
333	4.65483293
334	4.654724633
335	4.654059427
336	4.653537308
337	4.652996896
338	4.652599551
339	4.652071596
340	4.651272241
341	4.650574151
342	4.65014234
343	4.64935824
344	4.64878073
345	4.648718136
346	4.648051069
347	4.647456518
348	4.646480865
349	4.644929278
350	4.644517734
351	4.644110699
352	4.64352657
353	4.642815238
354	4.642152914
355	4.641344315
356	4.640952359
357	4.640613484
358	4.639959272
359	4.639786307
360	4.639317372
361	4.638570472
362	4.63820644
363	4.637669748
364	4.636867798
365	4.636024943
366	4.635590353
367	4.635169395
368	4.634285456
369	4.633903745
370	4.633805609
371	4.633190166
372	4.632370854
373	4.631834348
374	4.631065016
375	4.630364089
376	4.629843677
377	4.629344807
378	4.628692026
379	4.627944386
380	4.627165408
381	4.626792601
382	4.62614966
383	4.625172537
384	4.624500607
385	4.623870898
386	4.623303015
387	4.622493495
388	4.621719974
389	4.621165693
390	4.620719837
391	4.62027121
392	4.619799879
393	4.618874474
394	4.618281704
395	4.617790579
396	4.617778374
397	4.617331774
398	4.61694865
399	4.616403816
400	4.616113946
401	4.615425
402	4.614795661
403	4.614320784
404	4.61366372
405	4.613153887
406	4.612669828
407	4.611908263
408	4.611318602
409	4.611083775
410	4.610896798
411	4.610185613
412	4.609226131
413	4.608274299
414	4.607807393
415	4.607169763
416	4.606924701
417	4.606363006
418	4.605842872
419	4.605291644
420	4.604663235
421	4.60380508
422	4.603374273
423	4.602544607
424	4.602041144
425	4.601200235
426	4.599882875
427	4.59939176
428	4.598855342
429	4.598197096
430	4.59790906
431	4.597349064
432	4.596378494
433	4.595659404
434	4.595060346
435	4.594531896
436	4.593930666
437	4.593304488
438	4.592710137
439	4.591982602
440	4.591418765
441	4.590661853
442	4.589563335
443	4.588614216
444	4.588216804
445	4.58723003
446	4.587115132
447	4.586205212
448	4.58546652
449	4.585020292
450	4.584505805
451	4.584204257
452	4.583916655
453	4.583392585
454	4.582032777
455	4.581405548
456	4.581088855
457	4.580480753
458	4.580327675
459	4.579641771
460	4.579211677
461	4.578775606
462	4.578193344
463	4.577507943
464	4.577070083
465	4.576615019
466	4.575928857
467	4.575304182
468	4.574493733
469	4.574046375
470	4.573808526
471	4.573259975
472	4.573248449
473	4.572760868
474	4.572138962
475	4.571629786
476	4.571119808
477	4.570771105
478	4.570426796
479	4.569724679
480	4.569059669
481	4.568549748
482	4.568442828
483	4.568215556
484	4.567738853
485	4.567348074
486	4.566591355
487	4.56590351
488	4.565435947
489	4.565002033
490	4.564430382
491	4.563697036
492	4.563181228
493	4.562835962
494	4.562307939
495	4.562015016
496	4.561700982
497	4.561084034
498	4.560652513
499	4.559931288
500	4.55896709
501	4.558359409
502	4.558012964
503	4.557579967
504	4.55665315
505	4.556279608
506	4.55573629
507	4.555108163
508	4.554379755
509	4.553926998
510	4.553393932
511	4.552983068
512	4.552424049
513	4.551490302
514	4.550859226
515	4.550531781
516	4.550019922
517	4.54945813
518	4.549006459
519	4.548660253
520	4.548119951
521	4.547631883
522	4.547181531
523	4.546696501
524	4.545862559
525	4.545287462
526	4.544873964
527	4.544371138
528	4.544026557
529	4.543524281
530	4.543094844
531	4.542535588
532	4.542121425
533	4.541528217
534	4.541147744
535	4.541082883
536	4.540607741
537	4.540199754
538	4.539900698
539	4.538727051
540	4.538249391
541	4.537693915
542	4.537241403
543	4.536917006
544	4.536482976
545	4.535971287
546	4.535206898
547	4.534759841
548	4.534038286
549	4.533736312
550	4.532774187
551	4.532182862
552	4.531678899
553	4.531239923
554	4.530538541
555	4.529845515
556	4.529339718
557	4.528535717
558	4.527731207
559	4.527720042
560	4.527182242
561	4.526674302
562	4.526227124
563	4.525873167
564	4.525442343
565	4.524801011
566	4.524793165
567	4.524124303
568	4.523623111
569	4.522996964
570	4.522606772
571	4.521953652
572	4.521262923
573	4.520787332
574	4.520249631
575	4.519865978
576	4.519549055
577	4.519251946
578	4.518786976
579	4.518135649
580	4.517643927
581	4.517022001
582	4.516696981
583	4.516322471
584	4.515762317
585	4.515370349
586	4.514865901
587	4.514515571
588	4.514310983
589	4.513669088
590	4.51337595
591	4.51318961
592	4.513156377
593	4.512458565
594	4.512405822
595	4.511457956
596	4.510571597
597	4.509832013
598	4.509447484
599	4.508896607
600	4.508573303
601	4.507992986
602	4.507934111
603	4.507312232
604	4.50682456
605	4.506486802
606	4.506055106
607	4.505401456
608	4.504806122
609	4.504488228
610	4.504015776
611	4.503422933
612	4.502892463
613	4.502122064
614	4.501574293
615	4.500994512
616	4.500482973
617	4.500185006
618	4.499757866
619	4.499300231
620	4.498659319
621	4.498200875
