iter	Passed	Remaining
0	96	96841
1	191	95734
2	277	92095
3	356	88706
4	441	87839
5	540	89538
6	619	87882
7	708	87879
8	800	88089
9	894	88588
10	978	87951
11	1068	87936
12	1159	88040
13	1254	88339
14	1339	87945
15	1426	87743
16	1509	87279
17	1602	87446
18	1701	87849
19	1794	87913
20	1888	88028
21	1977	87891
22	2065	87747
23	2158	87793
24	2247	87659
25	2338	87608
26	2430	87580
27	2521	87538
28	2614	87528
29	2702	87365
30	2793	87324
31	2890	87425
32	2976	87212
33	3066	87113
34	3154	86985
35	3240	86778
36	3332	86722
37	3426	86754
38	3518	86699
39	3627	87053
40	3720	87023
41	3819	87118
42	3920	87261
43	4011	87156
44	4109	87210
45	4200	87114
46	4307	87337
47	4386	87001
48	4480	86966
49	4573	86894
50	4661	86737
51	4759	86772
52	4855	86760
53	4948	86683
54	5038	86564
55	5128	86453
56	5218	86339
57	5304	86147
58	5394	86036
59	5483	85909
60	5569	85733
61	5661	85649
62	5737	85327
63	5827	85227
64	5927	85267
65	6016	85137
66	6100	84953
67	6191	84856
68	6281	84751
69	6375	84707
70	6460	84528
71	6541	84312
72	6629	84188
73	6720	84101
74	6818	84099
75	6926	84206
76	7064	84679
77	7147	84488
78	7242	84435
79	7337	84378
80	7437	84382
81	7536	84375
82	7639	84399
83	7726	84252
84	7828	84270
85	7917	84146
86	8006	84025
87	8093	83877
88	8180	83730
89	8265	83571
90	8353	83446
91	8449	83392
92	8542	83314
93	8644	83318
94	8737	83233
95	8833	83181
96	8935	83187
97	9040	83205
98	9141	83198
99	9241	83177
100	9330	83052
101	9420	82936
102	9516	82879
103	9602	82725
104	9702	82698
105	9798	82640
106	9894	82573
107	10001	82601
108	10100	82565
109	10206	82578
110	10290	82414
111	10383	82322
112	10468	82170
113	10562	82094
114	10651	81970
115	10739	81843
116	10835	81771
117	10929	81696
118	11024	81617
119	11121	81555
120	11203	81389
121	11294	81284
122	11382	81154
123	11470	81030
124	11558	80911
125	11646	80787
126	11734	80661
127	11833	80616
128	11924	80514
129	12013	80395
130	12104	80298
131	12195	80196
132	12283	80073
133	12371	79951
134	12457	79819
135	12543	79687
136	12633	79583
137	12724	79481
138	12816	79389
139	12915	79338
140	13004	79228
141	13097	79139
142	13189	79045
143	13291	79013
144	13390	78956
145	13487	78894
146	13595	78889
147	13699	78863
148	13799	78812
149	13902	78783
150	14004	78739
151	14103	78683
152	14203	78631
153	14302	78573
154	14403	78520
155	14490	78395
156	14580	78291
157	14673	78198
158	14770	78125
159	14863	78033
160	14953	77926
161	15041	77808
162	15128	77683
163	15216	77568
164	15283	77343
165	15378	77265
166	15464	77138
167	15556	77039
168	15646	76935
169	15737	76834
170	15831	76750
171	15916	76623
172	16006	76515
173	16094	76402
174	16182	76288
175	16246	76062
176	16339	75972
177	16434	75892
178	16524	75793
179	16607	75657
180	16699	75563
181	16795	75485
182	16889	75403
183	16977	75293
184	17067	75187
185	17138	75002
186	17230	74911
187	17317	74795
188	17395	74644
189	17488	74555
190	17585	74485
191	17676	74386
192	17765	74284
193	17860	74203
194	17948	74096
195	18040	74004
196	18150	73985
197	18249	73921
198	18348	73853
199	18438	73752
200	18535	73678
201	18631	73601
202	18725	73517
203	18815	73418
204	18916	73360
205	19013	73285
206	19099	73170
207	19183	73043
208	19268	72923
209	19354	72808
210	19443	72706
211	19526	72580
212	19619	72489
213	19711	72398
214	19809	72327
215	19899	72226
216	19983	72105
217	20079	72028
218	20169	71930
219	20258	71824
220	20344	71711
221	20433	71610
222	20521	71504
223	20608	71395
224	20692	71275
225	20786	71188
226	20877	71093
227	20961	70973
228	21054	70888
229	21151	70813
230	21238	70702
231	21325	70594
232	21417	70502
233	21504	70396
234	21590	70283
235	21682	70193
236	21775	70104
237	21870	70022
238	21962	69930
239	22052	69833
240	22142	69733
241	22226	69619
242	22312	69509
243	22391	69375
244	22473	69254
245	22560	69148
246	22649	69048
247	22744	68966
248	22839	68886
249	22932	68798
250	23034	68737
251	23132	68664
252	23226	68576
253	23324	68503
254	23430	68452
255	23525	68370
256	23630	68316
257	23729	68244
258	23830	68178
259	23918	68075
260	24002	67962
261	24088	67852
262	24179	67757
263	24270	67663
264	24361	67567
265	24452	67474
266	24541	67373
267	24635	67287
268	24726	67193
269	24829	67130
270	24923	67046
271	25017	66958
272	25107	66861
273	25201	66774
274	25294	66684
275	25383	66584
276	25469	66478
277	25561	66385
278	25650	66287
279	25734	66175
280	25826	66083
281	25922	66001
282	26009	65898
283	26101	65804
284	26194	65715
285	26288	65628
286	26384	65547
287	26471	65444
288	26562	65350
289	26654	65257
290	26748	65171
291	26841	65081
292	26939	65003
293	27033	64916
294	27127	64830
295	27212	64722
296	27281	64574
297	27374	64485
298	27457	64373
299	27551	64287
300	27652	64216
301	27744	64124
302	27850	64065
303	27959	64012
304	28058	63936
305	28156	63859
306	28243	63754
307	28341	63676
308	28444	63609
309	28551	63549
310	28647	63465
311	28740	63376
312	28836	63292
313	28923	63190
314	29015	63096
315	29108	63006
316	29195	62903
317	29281	62799
318	29371	62702
319	29461	62604
320	29543	62493
321	29635	62401
322	29721	62295
323	29814	62204
324	29904	62109
325	29992	62009
326	30086	61921
327	30175	61822
328	30266	61728
329	30355	61629
330	30440	61523
331	30528	61424
332	30615	61322
333	30702	61220
334	30790	61120
335	30875	61016
336	30964	60917
337	31059	60832
338	31156	60749
339	31248	60658
340	31340	60567
341	31433	60477
342	31526	60388
343	31619	60297
344	31713	60209
345	31789	60087
346	31874	59982
347	31959	59877
348	32052	59789
349	32146	59700
350	32229	59591
351	32318	59495
352	32404	59393
353	32490	59289
354	32583	59201
355	32683	59123
356	32784	59048
357	32880	58964
358	32976	58880
359	33071	58794
360	33168	58711
361	33273	58641
362	33369	58557
363	33460	58464
364	33547	58364
365	33649	58289
366	33743	58199
367	33832	58103
368	33923	58010
369	34013	57914
370	34094	57804
371	34186	57712
372	34280	57624
373	34372	57532
374	34464	57441
375	34556	57348
376	34645	57251
377	34735	57157
378	34821	57055
379	34908	56956
380	34996	56858
381	35086	56763
382	35173	56663
383	35258	56559
384	35343	56457
385	35435	56365
386	35520	56263
