iter	Passed	Remaining
0	426	426524
1	650	324367
2	823	273589
3	988	246069
4	1148	228522
5	1297	215027
6	1449	205677
7	1613	200015
8	1763	194163
9	1927	190853
10	2086	187617
11	2229	183594
12	2369	179930
13	2509	176763
14	2648	173939
15	2795	171923
16	2955	170909
17	3102	169267
18	3249	167789
19	3398	166510
20	3542	165148
21	3698	164396
22	3851	163604
23	4007	162958
24	4128	161014
25	4268	159909
26	4398	158525
27	4556	158163
28	4700	157381
29	4839	156480
30	4991	156015
31	5139	155482
32	5324	156036
33	5465	155289
34	5619	154927
35	5776	154694
36	5914	153928
37	6068	153618
38	6220	153267
39	6367	152808
40	6525	152632
41	6670	152142
42	6813	151647
43	6948	150977
44	7093	150534
45	7210	149535
46	7356	149169
47	7492	148610
48	7624	147986
49	7756	147372
50	7882	146679
51	8035	146497
52	8168	145957
53	8305	145506
54	8434	144921
55	8581	144653
56	8718	144234
57	8809	143085
58	8957	142856
59	9113	142775
60	9262	142584
61	9402	142243
62	9545	141976
63	9689	141714
64	9823	141303
65	9957	140918
66	10091	140533
67	10249	140480
68	10353	139696
69	10450	138841
70	10588	138550
71	10723	138216
72	10860	137917
73	10992	137556
74	11119	137134
75	11248	136758
76	11395	136602
77	11548	136508
78	11681	136189
79	11819	135923
80	11958	135671
81	12109	135568
82	12248	135328
83	12384	135048
84	12507	134642
85	12629	134228
86	12763	133945
87	12923	133929
88	13074	133826
89	13213	133605
90	13355	133412
91	13486	133110
92	13626	132897
93	13781	132832
94	13926	132664
95	14064	132439
96	14216	132346
97	14376	132323
98	14522	132167
99	14666	131996
100	14787	131624
101	14891	131101
102	15037	130954
103	15187	130845
104	15337	130735
105	15478	130546
106	15627	130423
107	15795	130462
108	15919	130128
109	16018	129602
110	16119	129102
111	16248	128828
112	16413	128835
113	16565	128745
114	16693	128463
115	16828	128246
116	16963	128022
117	17098	127804
118	17243	127661
119	17409	127672
120	17543	127443
121	17672	127182
122	17812	127001
123	17950	126809
124	18082	126574
125	18221	126392
126	18373	126298
127	18527	126221
128	18669	126054
129	18817	125932
130	18956	125747
131	19097	125577
132	19229	125350
133	19371	125194
134	19534	125168
135	19675	124998
136	19820	124853
137	19937	124537
138	20072	124332
139	20215	124180
140	20369	124096
141	20506	123903
142	20681	123945
143	20820	123764
144	20954	123560
145	21092	123378
146	21233	123210
147	21374	123045
148	21519	122904
149	21667	122779
150	21800	122574
151	21941	122412
152	22082	122244
153	22224	122089
154	22370	121955
155	22518	121831
156	22675	121753
157	22848	121764
158	23010	121709
159	23161	121598
160	23293	121384
161	23428	121189
162	23576	121066
163	23728	120959
164	23844	120668
165	23985	120505
166	24148	120454
167	24293	120310
168	24437	120163
169	24593	120075
170	24717	119827
171	24871	119730
172	25016	119586
173	25152	119403
174	25298	119264
175	25433	119073
176	25578	118931
177	25704	118700
178	25842	118527
179	26007	118478
180	26141	118288
181	26286	118144
182	26423	117968
183	26565	117813
184	26704	117642
185	26841	117465
186	27004	117404
187	27145	117244
188	27289	117098
189	27436	116966
190	27582	116826
191	27724	116672
192	27874	116550
193	28043	116510
194	28188	116369
195	28325	116193
196	28468	116041
197	28613	115899
198	28761	115766
199	28930	115721
200	29049	115473
201	29166	115222
202	29280	114959
203	29430	114838
204	29574	114690
205	29708	114506
206	29850	114356
207	29988	114188
208	30134	114047
209	30272	113880
210	30420	113753
211	30587	113692
212	30729	113539
213	30874	113397
214	31030	113297
215	31184	113187
216	31325	113032
217	31457	112843
218	31600	112695
219	31753	112579
220	31896	112430
221	32034	112266
222	32180	112127
223	32339	112032
224	32491	111914
225	32627	111741
226	32764	111573
227	32864	111277
228	32992	111080
229	33147	110972
230	33294	110838
231	33438	110691
232	33583	110550
233	33724	110396
234	33859	110225
235	33993	110046
236	34145	109927
237	34291	109789
238	34455	109708
239	34601	109571
240	34743	109420
241	34875	109238
242	35019	109092
243	35144	108889
244	35282	108728
245	35446	108645
246	35591	108503
247	35732	108350
248	35870	108188
249	36016	108050
250	36157	107894
251	36293	107727
252	36454	107634
253	36605	107511
254	36739	107337
255	36892	107219
256	37030	107057
257	37173	106910
258	37329	106798
259	37476	106664
260	37634	106557
261	37782	106426
262	37914	106246
263	38057	106098
264	38197	105944
265	38348	105819
266	38483	105650
267	38637	105531
268	38775	105370
269	38917	105221
270	39046	105035
271	39188	104886
272	39323	104718
273	39454	104540
274	39610	104428
275	39776	104341
276	39920	104195
277	40062	104046
278	40209	103911
279	40363	103791
280	40510	103655
281	40648	103494
282	40792	103350
283	40927	103184
284	41063	103019
285	41139	102705
286	41280	102553
287	41421	102404
288	41564	102256
289	41705	102106
290	41870	102013
291	42022	101890
292	42146	101699
293	42301	101581
294	42435	101412
295	42558	101220
296	42693	101055
297	42845	100932
298	43009	100835
299	43134	100648
300	43274	100494
301	43421	100358
302	43575	100238
303	43706	100064
304	43855	99932
305	44041	99885
306	44184	99739
307	44328	99594
308	44463	99430
309	44611	99296
310	44720	99075
311	44826	98848
312	44974	98715
313	45159	98660
314	45296	98502
315	45441	98361
316	45581	98207
317	45708	98029
318	45855	97892
319	46005	97762
320	46177	97678
321	46322	97536
322	46499	97461
323	46654	97340
324	46797	97194
325	46931	97029
326	47076	96889
327	47246	96798
328	47393	96659
329	47532	96504
330	47678	96365
331	47805	96186
332	47934	96012
333	48072	95856
334	48222	95725
335	48407	95661
336	48551	95518
337	48702	95388
338	48846	95243
339	48969	95058
340	49108	94904
341	49254	94763
342	49412	94646
343	49547	94486
344	49696	94351
345	49820	94169
346	49951	94001
