iter	Passed	Remaining
0	320	3206010
1	471	2357960
2	620	2067554
3	795	1987441
4	957	1913663
5	1117	1861768
6	1266	1807795
7	1427	1782695
8	1577	1750684
9	1750	1748849
10	1889	1715548
11	1986	1653362
12	2076	1595446
13	2171	1548846
14	2266	1508673
15	2364	1475169
16	2513	1476283
17	2661	1475744
18	2808	1475203
19	2947	1470900
20	3107	1476796
21	3213	1457352
22	3358	1456905
23	3495	1452892
24	3610	1440555
25	3753	1439726
26	3881	1433625
27	4036	1437637
28	4180	1437332
29	4313	1433503
30	4451	1431454
31	4602	1433663
32	4751	1435136
33	4895	1434916
34	5038	1434453
35	5185	1435336
36	5315	1431230
37	5465	1432761
38	5605	1431722
39	5755	1433036
40	5921	1438392
41	6074	1440139
42	6214	1439033
43	6351	1437080
44	6483	1434300
45	6596	1427498
46	6731	1425470
47	6861	1422518
48	6989	1419451
49	7124	1417774
50	7252	1414726
51	7388	1413392
52	7515	1410597
53	7642	1407644
54	7778	1406414
55	7925	1407309
56	8063	1406670
57	8149	1397019
58	8292	1397174
59	8427	1396238
60	8572	1396709
61	8707	1395790
62	8843	1394909
63	8972	1393017
64	9107	1391984
65	9245	1391615
66	9380	1390620
67	9514	1389652
68	9641	1387629
69	9774	1386628
70	9905	1385174
71	10036	1383869
72	10183	1384883
73	10313	1383387
74	10443	1381994
75	10570	1380340
76	10706	1379727
77	10837	1378601
78	10979	1378870
79	11105	1377100
80	11238	1376222
81	11371	1375382
82	11489	1372832
83	11619	1371686
84	11743	1369805
85	11886	1370221
86	12024	1370089
87	12167	1370553
88	12305	1370368
89	12427	1368380
90	12560	1367682
91	12690	1366704
92	12822	1365987
93	12960	1365818
94	13105	1366435
95	13248	1366753
96	13377	1365783
97	13516	1365751
98	13655	1365697
99	13806	1366877
100	13972	1369424
101	14109	1369206
102	14254	1369650
103	14394	1369677
104	14534	1369687
105	14666	1368981
106	14811	1369474
107	14950	1369390
108	15091	1369438
109	15232	1369513
110	15362	1368610
111	15488	1367412
112	15623	1366990
113	15767	1367356
114	15903	1366980
115	16045	1367156
116	16164	1365381
117	16297	1364852
118	16433	1364520
119	16588	1365775
120	16718	1364946
121	16859	1365026
122	16986	1364011
123	17118	1363417
124	17252	1362948
125	17395	1363161
126	17527	1362592
127	17657	1361820
128	17792	1361435
129	17927	1361138
130	18058	1360479
131	18199	1360580
132	18323	1359398
133	18474	1360195
134	18612	1360123
135	18748	1359847
136	18885	1359634
137	19006	1358280
138	19140	1357893
139	19275	1357539
140	19425	1358263
141	19558	1357809
142	19711	1358707
143	19841	1358069
144	19970	1357281
145	20096	1356373
146	20231	1356090
147	20367	1355791
148	20512	1356136
149	20640	1355379
150	20784	1355660
151	20925	1355772
152	21059	1355384
153	21190	1354811
154	21327	1354613
155	21462	1354354
156	21601	1354297
157	21742	1354376
158	21882	1354366
159	22021	1354338
160	22159	1354223
161	22290	1353675
162	22428	1353553
163	22566	1353459
164	22676	1351654
165	22818	1351762
166	22960	1351940
167	23088	1351250
168	23227	1351189
169	23393	1352681
170	23520	1351940
171	23653	1351547
172	23793	1351541
173	23932	1351509
174	24077	1351783
175	24210	1351383
176	24357	1351778
177	24482	1350954
178	24626	1351142
179	24768	1351255
180	24906	1351130
181	25047	1351170
182	25181	1350879
183	25317	1350623
184	25458	1350682
185	25599	1350699
186	25738	1350664
187	25872	1350339
188	26019	1350657
189	26162	1350799
190	26299	1350659
191	26438	1350544
192	26580	1350669
193	26728	1351036
194	26864	1350787
195	26988	1349996
196	27134	1350238
197	27280	1350532
